file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\CommandArguments.java,redis.clients.jedis.CommandArguments,0.0,-1.0,5.0,8.0,0.61538464,-1.0,3.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StaticCommandFlagsRegistry.java,redis.clients.jedis.StaticCommandFlagsRegistry$Builder,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\builders\ClusterClientBuilder.java,redis.clients.jedis.builders.ClusterClientBuilder,18.0,0.45454547,0.0,20.0,1.0,0.2777778,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteHashMap.java,redis.clients.jedis.util.JedisByteHashMap$JedisByteEntry,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteMap.java,redis.clients.jedis.util.JedisByteMap$JedisByteEntry,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteMap.java,redis.clients.jedis.util.JedisByteMap,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteHashMap.java,redis.clients.jedis.util.JedisByteHashMap,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\SafeEncoder.java,redis.clients.jedis.util.SafeEncoder,0.0,-1.0,7.0,2.0,0.22222222,-1.0,4.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StaticCommandFlagsRegistryInitializer.java,redis.clients.jedis.StaticCommandFlagsRegistryInitializer,0.0,-1.0,1251.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteHashMap.java,redis.clients.jedis.util.JedisByteHashMap$ByteArrayWrapper,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\JedisByteMap.java,redis.clients.jedis.util.JedisByteMap$ByteArrayWrapper,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\executors\ClusterCommandExecutor.java,redis.clients.jedis.executors.ClusterCommandExecutor,0.0,-1.0,12.0,4.0,0.25,-1.0,6.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StaticCommandFlagsRegistry.java,redis.clients.jedis.StaticCommandFlagsRegistry$Commands,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\UnifiedJedis.java,redis.clients.jedis.UnifiedJedis,0.0,-1.0,50.0,22.0,0.30555555,-1.0,9.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StaticCommandFlagsRegistry.java,redis.clients.jedis.StaticCommandFlagsRegistry,0.0,-1.0,10.0,3.0,0.23076923,-1.0,4.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StaticCommandFlagsRegistry.java,redis.clients.jedis.StaticCommandFlagsRegistry$CommandMeta,0.0,-1.0,2.0,2.0,0.5,-1.0,2.0
