file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$21,"process/2[org.jsoup.parser.Token, org.jsoup.parser.HtmlTreeBuilder]",0.0,3.0,1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$22,"process/2[org.jsoup.parser.Token, org.jsoup.parser.HtmlTreeBuilder]",1.0,1.0,0.5,1.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$23,"process/2[org.jsoup.parser.Token, org.jsoup.parser.HtmlTreeBuilder]",0.0,2.0,1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$24,"process/2[org.jsoup.parser.Token, org.jsoup.parser.HtmlTreeBuilder]",20.0,0.0,0.0,9.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$24,"processAsHtml/2[org.jsoup.parser.Token, org.jsoup.parser.HtmlTreeBuilder]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token,"asCharacter/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token,"asComment/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token,"asDoctype/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token,"asEndTag/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token,"asStartTag/0[]",0.0,0.0,-1.0,0.0
